Unique,Coin,Date,Length,Sex,Maturity,Age ,,,,,,,,,
192,112,12/28/2023,335,F,R,11,,,,,,,,,
193,113,12/28/2023,312,F,R,9,,,,,,,,,
194,114,12/28/2023,334,M,,10,,,,,,,,,
195,115,12/28/2023,404,F,PS,25,,,,,,,,,
196,116,12/28/2023,342,F,S,,,,,,,,,,
197,117,12/28/2023,326,F,R,13,,,,,,,,,
198,118,12/28/2023,341,M,,9,,,,,,,,,
199,119,12/28/2023,328,F,S,10,,,,,,,,,
200,120,12/28/2023,417,M,,23,,,,,,,,,
201,121,12/28/2023,324,F,R,8,,,,,,,,,
202,122,12/28/2023,331,F,PS,9,,,,,,,,,
203,123,12/28/2023,347,F,R,19,,,,,,,,,
204,124,12/28/2023,328,F,R,10,,,,,,,,,
205,125,12/28/2023,349,F,R,13,,,,,,,,,
206,126,12/28/2023,250,F,R,7,,,,,,,,,
207,1,1/3/2024,326,F,S,16,,,,,,,,,
208,2,1/3/2024,316,F,R,8,,,,,,,,,
209,3,1/3/2024,368,F,PS,23,,,,,,,,,
210,4,1/3/2024,343,F,PS,19,,,,,,,,,
211,5,1/3/2024,346,M,,21,,,,,,,,,
212,6,1/3/2024,332,M,,8,,,,,,,,,
213,7,1/3/2024,340,M,,11,,,,,,,,,
214,8,1/3/2024,325,F,R,9,,,,,,,,,
215,9,1/3/2024,419,M,,32,,,,,,,,,
216,10,1/3/2024,348,F,R,27,,,,,,,,,
217,11,1/3/2024,331,F,S,17,,,,,,,,,
218,12,1/3/2024,337,F,R,16,,,,,,,,,
219,13,1/3/2024,352,F,S,16,,,,,,,,,
220,14,1/3/2024,323,F,S,12,,,,,,,,,
221,15,1/3/2024,341,M,,19,,,,,,,,,
222,16,1/3/2024,378,M,,25,,,,,,,,,
223,17,1/3/2024,372,F,S,26,,,,,,,,,
224,18,1/3/2024,353,F,S,20,,,,,,,,,
225,19,1/3/2024,348,F,S,15,,,,,,,,,
226,20,1/3/2024,331,M,,12,,,,,,,,,
227,21,1/3/2024,330,M,,9,,,,,,,,,
228,22,1/3/2024,342,F,R,22,,,,,,,,,
229,23,1/3/2024,347,M,,20,,,,,,,,,
230,24,1/3/2024,333,F,R,9,,,,,,,,,
231,25,1/3/2024,328,M,,11,,,,,,,,,
232,26,1/3/2024,391,M,,21,,,,,,,,,
233,27,1/3/2024,354,M,,22,,,,,,,,,
234,28,1/3/2024,326,M,,12,,,,,,,,,
235,29,1/3/2024,311,M,,7,,,,,,,,,
236,30,1/3/2024,317,M,,10,,,,,,,,,
237,31,1/3/2024,347,F,PS,20,,,,,,,,,
238,32,1/3/2024,339,M,,19,,,,,,,,,
239,33,1/3/2024,350,M,,13,,,,,,,,,
240,34,1/3/2024,328,F,R,10,,,,,,,,,
241,35,1/3/2024,338,F,S,19,,,,,,,,,
242,36,1/3/2024,328,M,,16,,,,,,,,,
243,37,1/3/2024,335,F,R,18,,,,,,,,,
244,38,1/3/2024,339,F,R,18,,,,,,,,,
245,39,1/3/2024,341,M,,14,,,,,,,,,
246,40,1/3/2024,336,F,S,18,,,,,,,,,
247,41,1/3/2024,314,F,R,9,,,,,,,,,
248,42,1/3/2024,334,M,,10,,,,,,,,,
249,43,1/3/2024,325,F,S,13,,,,,,,,,
250,44,1/3/2024,323,F,S,13,,,,,,,,,
251,45,1/3/2024,334,M,,9,,,,,,,,,
252,46,1/3/2024,345,M,,18,,,,,,,,,
253,47,1/3/2024,363,F,PS,22,,,,,,,,,
254,48,1/3/2024,328,F,S,13,,,,,,,,,
255,49,1/3/2024,354,F,R,22,,,,,,,,,
256,50,1/3/2024,389,F,S,20,,,,,,,,,
257,51,1/3/2024,332,F,S,11,,,,,,,,,
258,52,1/3/2024,354,M,,20,,,,,,,,,
259,53,1/3/2024,332,M,,12,,,,,,,,,
260,54,1/3/2024,343,F,S,22,,,,,,,,,
261,55,1/3/2024,308,F,S,10,,,,,,,,,
262,56,1/3/2024,328,F,S,17,,,,,,,,,
263,57,1/3/2024,335,M,,9,,,,,,,,,
264,58,1/3/2024,343,M,,20,,,,,,,,,
265,59,1/3/2024,347,M,,16,,,,,,,,,
